url,dataset_relevance,species,1_10_spp,more_10spp,n
https://doi.org/10.5061/dryad.nb115,H,"Porzana carolina, Rallus limicola, Coturnicops noveboracensis",Aves,,
https://doi.org/10.5061/dryad.nt511dp,L,Salvelinus namaycush,Osteichthyes,,
https://doi.org/10.5061/dryad.p2r8r,L,northern flying squirrel,Mammalia ,,
https://doi.org/10.5061/dryad.pg4f4qrpf,M,,Mammalia ,,
https://doi.org/10.5061/dryad.pg4f4qrpf,M,"8 bird species, lemmings",Aves,,
https://doi.org/10.5061/dryad.pnvx0k6hq,H,caribou,Mammalia ,,
https://doi.org/10.5061/dryad.pzgmsbchr,M,Odocoileus virginianus,Mammalia ,,
https://doi.org/10.5061/dryad.q573n5tdx,M,"Abies balsamea, Acer rubrum, Acer saccharum, Betula papyrifera, Betula alleghaniensis, Populus tremuloides, Fagus grandifolia, and other data for 40 species",,Plantae,48
https://doi.org/10.5061/dryad.q810f,M,"Carex (42), Eriophorum (6), and Trichophorum (2) species",,Plantae,50
https://doi.org/10.5061/dryad.qjq2bvqkh,L,,,Mammalia,1
https://doi.org/10.5061/dryad.qjq2bvqkh,L,,,Insecta,1
https://doi.org/10.5061/dryad.qjq2bvqkh,L,"Castor canadensis, Agrilus planipennis, c.30 plant species",,Plantae,30
https://doi.org/10.5061/dryad.qn1cj,H,Caribou,Mammalia ,,
https://doi.org/10.5061/dryad.qs1h4,L,Salvelinus namaycush,Osteichthyes,,
https://doi.org/10.5061/dryad.qt30h,L,communities (42 spp),,Plantae,42
https://doi.org/10.5061/dryad.r6s1c,H,,,Plantae,4
https://doi.org/10.5061/dryad.r6s1c,H,,,Aves,3
https://doi.org/10.5061/dryad.r6s1c,H,"Dendragapus canadensis, Poecile hudsonicus, Alces americanus, Rangifer tarandus, other 8 mammals, 4 tree species, 3 bird species",,Mammalia,12
https://doi.org/10.5061/dryad.rn8pk0pbj,M,"Apanteles fumiferanae, Glypta fumiferanae",Insecta,,
https://doi.org/10.5061/dryad.rp77j,L,Phragmites australis,Angiosperms,,
https://doi.org/10.5061/dryad.s1rn8pk7d,H,180 plant species,,Plantae,180
https://doi.org/10.5061/dryad.s26qt314,M,"Enallagma hageni, Enallagma ebrium",,,
https://doi.org/10.5061/dryad.sbcc2fr4j,H,Thuja occidentalis,,,
https://doi.org/10.5061/dryad.sf1k4m8,M,"Black spruce, other 16 plants",,,
https://doi.org/10.5061/dryad.sqv9s4n2j,L,"Trillium erectum, Erythronium americanum",,,
https://doi.org/10.5061/dryad.t11f5,L,10 fish species,,,
https://doi.org/10.5061/dryad.t77f1p4,H,Lynx rufus,Mammalia ,,
https://doi.org/10.5061/dryad.tc45g,L,Seiurus aurocapilla,Aves,,
https://doi.org/10.5061/dryad.tqjq2bvwz,L,28 plant species,,Plantae,28
https://doi.org/10.5061/dryad.vmcvdncrn,M,,,Algae,88
https://doi.org/10.5061/dryad.vmcvdncrn,M,,,Zooplankton,34
https://doi.org/10.5061/dryad.vmcvdncrn,M,"88 phytoplankton species, 34 zooplankton species, 18 fish species",,Osteichthyes,18
https://doi.org/10.5061/dryad.vt4b8gtnv,L,Homarus americanus,Crustacea,,
https://doi.org/10.5061/dryad.xd2547dj8,L,diptera (in general. No species),Insecta,,
https://doi.org/10.5061/dryad.xgxd254cp,L,Salvelinus namaycush,Osteichthyes,,
https://doi.org/10.5061/dryad.xgxd254dk,L,parasites (460 OTUS),,Insecta,50
https://doi.org/10.5061/dryad.zs7h44j7m,L,,,Insecta,68
https://doi.org/10.5061/dryad.zs7h44j7m,L,Plants (docens) and bee species (docens),,Plantae,9
https://doi.org/10.3897/BDJ.8.e49450.suppl1,H,150 insect species (Odonata),,Insecta,150
https://doi.org/10.5061/dryad.fp659276,M,Procyon lotor,Mammalia ,,
